编号,标题,,机构,难度,学时,热度,语言,开课日期,副标题,学科
2227,数学文化十讲,,南开大学,简单（初级）,9 周,"热度 1,083",中文,,国家精品,数学与统计
16745,全栈新媒体运营,,半撇私塾 & 网易,简单（初级）,13 周,"热度 1,785",中文,2月11日,微专业,商业管理
8910,精益创业家,,中欧国际工商学院,简单（初级）,17 周,"热度 1,116",中文,,微专业,商业管理
13043,小儿保健推拿师,,医知袋鼠,简单（初级）,4 周,"热度 1,227",中文,,微专业,医学健康
8923,高级UI设计师2.0,,网易杭州研究院,普通（中级）,6 个月,"热度 2,037",中文,1月23日,微专业,艺术
6064,思维导图的教学应用,,爱课程,简单（初级）,6 周,"热度 1,228",中文,3月11日,,教育
4707,课堂管理的方法与艺术,,爱课程,简单（初级）,8 周,热度 976,中文,1月1日,,教育
7721,“互联网+”时代教师个人知识管理,,爱课程,简单（初级）,8 周,"热度 1,269",中文,,,教育
19817,流体力学,,大连理工大学,普通（中级）,15 周,"热度 1,232",中文,,,物理
15348,园艺概论,,华中农业大学,简单（初级）,8 周,热度 687,中文,,,生物
18268,财政学,,中南财经政法大学,普通（中级）,18 周,热度 944,中文,,,金融
13392,宠物犬鉴赏,,华中农业大学,简单（初级）,9 周,热度 539,中文,,,生物
5017,财务基础：管理家庭资产负债表,,英国开放大学,简单（初级）,4 周,"热度 5,871",英语,2月18日,,金融
16366,基因组时代：医学遗传学的未来,,伦敦大学圣乔治医学院,普通（中级）,5 周,"热度 4,476",英语,,,医学健康
388,机器人导论：构建机器人手臂,,澳大利亚昆士兰科技大学,简单（初级）,5 周,"热度 4,901",英语,,,工程
12902,英国议会制度：人民，流程和公众参与,,英国威斯敏斯特宫,简单（初级）,3 周,"热度 3,706",英语,,,社会
5908,现代建筑设计,,英国巴斯大学,简单（初级）,3 周,"热度 3,332",英语,,,建筑
15952,探索牙科,,英国谢菲尔德大学,简单（初级）,6 周,"热度 2,645",英语,1月28日,,医学健康
18293,西班牙语入门 6：出行,,英国开放大学,简单（初级）,4 周,"热度 2,815","英语, 西班牙语",3月18日,,语言
16479,西班牙语入门 2：人物和场所,,英国开放大学,简单（初级）,4 周,"热度 3,128","英语, 西班牙语",,,语言
164,逻辑和批判性思维,,新西兰奥克兰大学,简单（初级）,8 周,"热度 4,303",英语,,,哲学
14399,意大利语入门 5：旅行时间,,英国开放大学,简单（初级）,4 周,"热度 1,221","英语, 意大利语",2月11日,,语言
14768,意大利语入门 2：我的朋友和家人,,英国开放大学,简单（初级）,4 周,热度 668,"英语, 意大利语",,,语言
2841,探索英语教学世界,,剑桥大学外语考试部,简单（初级）,6 周,"热度 1,990",英语,,,语言
18513,经典导读与欣赏,,西南大学,简单（初级）,18 周,"热度 2,562",中文,,,文学
12159,社区管理学,,东北大学,简单（初级）,12 周,热度 912,中文,,,商业管理
6825,IT行业职场英语,,大连理工大学,普通（中级）,16 周,"热度 2,071",中文,,,语言
2097,材料工程基础,,武汉理工大学,普通（中级）,16 周,"热度 1,079",中文,,,工程
588,材料力学,,东北大学,普通（中级）,19 周,"热度 1,427",中文,,,物理
17206,分析化学,,大连理工大学,普通（中级）,17 周,"热度 1,812",中文,,,化学
3905,普通化学,,大连理工大学,简单（初级）,19 周,"热度 1,159",中文,,,化学
8787,化学与社会,,大连理工大学,简单（初级）,16 周,热度 706,中文,,,化学
16302,有机化学（下）,,大连理工大学,普通（中级）,17 周,热度 638,中文,,,化学
18295,有机化学（上）,,大连理工大学,普通（中级）,17 周,"热度 1,080",中文,,,化学
7593,无机化学（下）,,大连理工大学,简单（初级）,18 周,热度 742,中文,,,化学
2448,英美诗歌名篇选读,,北京联合大学,普通（中级）,16 周,"热度 1,658",中文,,,文学
12189,网络技术与应用,,南京邮电大学,简单（初级）,12 周,"热度 2,167",中文,,国家精品,互联网
15744,大学物理3：电磁学,,同济大学,简单（初级）,12 周,"热度 1,385",中文,,国家精品,物理
15696,实用大众线性代数(MATLAB版),,西安电子科技大学,简单（初级）,17 周,"热度 2,339",中文,,,数学与统计
16262,数据库技术及应用,,东北师范大学,简单（初级）,17 周,"热度 1,604",中文,,国家精品,计算机
18419,微积分（三）,,电子科技大学,简单（初级）,12 周,"热度 1,401",中文,,,数学与统计
1383,中国行政法原理及应用,,南京大学,普通（中级）,17 周,"热度 1,023",中文,,,法律
17501,养气方程式,,台北医学大学,简单（初级）,8 周,热度 503,中文,,,医学健康
5872,精密机械设计,,武汉大学,普通（中级）,8 周,热度 943,中文,,,工程
19992,药理学,,山东大学,普通（中级）,16 周,"热度 1,204",中文,,,医学健康
18828,信号与系统,,北京交通大学,难（高级）,19 周,"热度 1,517",中文,,,电子
19783,工科数学分析（二）,,北京航空航天大学,普通（中级）,20 周,热度 760,中文,,,数学与统计
9750,图像复制原理,,武汉大学,普通（中级）,8 周,热度 603,中文,,,艺术
11837,病原生物与人类,,复旦大学,简单（初级）,8 周,热度 751,中文,,,医学健康
16257,英语语言学概论,,东北大学,普通（中级）,12 周,"热度 1,591",中文,,,语言
7615,线性代数,,北京理工大学,简单（初级）,14 周,"热度 2,303",中文,,,数学与统计
4711,冷战史专题,,华东师范大学,普通（中级）,9 周,"热度 1,173",中文,,,历史
14572,学术交流英语,,东南大学,普通（中级）,17 周,"热度 1,478",中文,,,语言
131,高等数学(二),,西安交通大学,简单（初级）,16 周,"热度 3,629",中文,,,数学与统计
6854,犯罪现象：原因与对策,,郑州大学,简单（初级）,9 周,热度 663,中文,,,法律
10709,有机化学(1),,西安交通大学,普通（中级）,17 周,热度 616,中文,,,化学
17316,外国文学经典选读与现实观照,,电子科技大学,简单（初级）,19 周,热度 660,中文,,国家精品,文学
10427,《论语》教育智慧品绎,,华南师范大学,普通（中级）,14 周,热度 912,中文,,,文学
16267,体育与健康,,华东师范大学,简单（初级）,20 周,热度 987,中文,,,医学健康
19809,中国近现代史纲要,,武汉大学,简单（初级）,15 周,"热度 1,384",中文,,,历史
14773,计算机组成原理（下）,,哈尔滨工业大学,普通（中级）,19 周,热度 919,中文,,,计算机
15497,计算机组成原理（上）,,哈尔滨工业大学,普通（中级）,19 周,"热度 1,860",中文,,,计算机
17382,微生物学与免疫学实验,,厦门大学,普通（中级）,17 周,热度 684,中文,,,生物
15968,概率论与数理统计,,哈尔滨工业大学,普通（中级）,12 周,"热度 1,925",中文,,,数学与统计
8488,无机及分析化学（上）,,华中农业大学,简单（初级）,11 周,"热度 1,116",中文,,国家精品,化学
7655,有机化学,,华中农业大学,简单（初级）,17 周,热度 940,中文,,,化学
133,C语言程序设计精髓,,哈尔滨工业大学,简单（初级）,20 周,"热度 2,538",中文,,,计算机
17619,高等数学（三）,,国防科技大学,简单（初级）,6 周,"热度 1,668",中文,,,数学与统计
17377,Java程序设计,,北京大学,普通（中级）,16 周,"热度 4,822",中文,,,计算机
19387,工程力学,,华中科技大学,难（高级）,20 周,"热度 1,122",中文,,,工程
7965,模拟电子技术基础,,华中科技大学,普通（中级）,19 周,"热度 1,803",中文,,,电子
10147,电路分析基础,,南京邮电大学,普通（中级）,14 周,"热度 1,276",中文,,,电子
2224,植物学,,华中农业大学,简单（初级）,17 周,"热度 1,184",中文,,,生物
10986,Python网络爬虫与信息提取,,北京理工大学,普通（中级）,9 周,"热度 5,996",中文,,,计算机
8548,Python科学计算三维可视化,,北京理工大学,普通（中级）,10 周,"热度 1,965",中文,,,计算机
15254,Python机器学习应用,,北京理工大学,普通（中级）,5 周,"热度 3,328",中文,,,计算机
5294,Python云端系统开发入门,,北京理工大学,普通（中级）,7 周,"热度 1,678",中文,,,计算机
5417,Python游戏开发入门,,北京理工大学,普通（中级）,10 周,"热度 2,837",中文,,,计算机
10247,Python数据分析与展示,,北京理工大学,普通（中级）,5 周,"热度 4,141",中文,,,计算机
6984,Web安全工程师,,网易信息安全部,简单（初级）,6 个月,"热度 2,493",中文,,微专业,计算机
19504,数据分析师（SQL Server）,,经管之家,普通（中级）,3 个月,"热度 6,138",中文,,微专业,经济
16066,数据分析师（Excel）,,经管之家,简单（初级）,2 个月,"热度 10,887",中文,,微专业,经济
5308,数据挖掘工程师,,经管之家,普通（中级）,4 个月,"热度 5,305",中文,,微专业,经济
7807,Python Web 开发工程师,,麻瓜编程,简单（初级）,6 周,"热度 8,214",中文,,微专业,计算机
7073,大数据分析师,,经管之家,普通（中级）,9 周,"热度 5,035",中文,,微专业,计算机
17904,手游场景设计师,,GA游戏教育,简单（初级）,5 个月,"热度 2,572",中文,,微专业,艺术
18647,游戏原画师,,网易游戏,普通（中级）,9 个月,"热度 4,053",中文,,微专业,艺术
6325,手游UI设计师,,网易雷火,普通（中级）,7 个月,"热度 3,344",中文,,微专业,艺术
6124,Java应用基础,,浙江大学,简单（初级）,3 个月,"热度 7,319",中文,,微专业,计算机
17068,Android开发工程师,,网易杭州研究院,普通（中级）,3 个月,"热度 5,205",中文,,微专业,计算机
11046,iOS开发工程师,,网易杭州研究院,普通（中级）,3 个月,"热度 2,355",中文,,微专业,计算机
12683,新媒体视频导演,,咔图摄影教育中心,简单（初级）,5 个月,"热度 3,828",中文,,微专业,艺术
3743,Unity游戏开发工程师（基础班）,,InsideRIA,简单（初级）,5 周,"热度 2,894",中文,,微专业,艺术
13095,游戏化教学法,,爱课程,普通（中级）,8 周,"热度 3,400",中文,,,教育
8443,微生物学,,厦门大学,简单（初级）,22 周,"热度 1,720",中文,,,生物
18729,用药快餐车,,台北医学大学,简单（初级）,10 周,"热度 1,221",中文,,,医学健康
6302,工程流体力学,,北京理工大学,难（高级）,12 周,"热度 2,282",中文,,,物理
62,投资学,,台湾清华大学,普通（中级）,10 周,"热度 3,328",中文,,,金融
949,小提琴和中提琴教学：打下坚实基础,,美国西北大学,简单（初级）,18 个小时,"热度 2,726",英语,,,艺术
12742,宇宙之旅：我们时代的故事,,耶鲁大学,简单（初级）,36 周,热度 162,"中文, 英语",,专项课程,环境与地球
14771,有效地向受众传播新闻,,密歇根州立大学,普通（中级）,9 个小时,"热度 1,854",英语,,,社会
4322,什么是新闻,,密歇根州立大学,简单（初级）,13 个小时,"热度 1,743",英语,,,社会
3405,音乐与社会运动,,耶鲁大学,普通（中级）,26 个小时,"热度 1,912",英语,,,社会
17606,严肃游戏,,鹿特丹伊拉斯姆斯大学,简单（初级）,15 个小时,"热度 2,339","英语, 法语",,,教育
6493,电子游戏中的角色设计,,加州艺术学院,简单（初级）,12 个小时,"热度 1,818",英语,,,艺术
13633,用户研究员,,浙江大学 网易,简单（初级）,5 个月,"热度 3,002",中文,1月23日,微专业,互联网
10059,慕课的艺术：行动主义和社会运动,,杜克大学,简单（初级）,7 个小时,"热度 1,353","英语, 西班牙语",,,教育
418,慕课的艺术：公共艺术和教育学,,杜克大学,简单（初级）,9 个小时,"热度 1,332","英语, 西班牙语",,,教育
12025,城市设计,,宾夕法尼亚大学,简单（初级）,20 个小时,"热度 1,110",英语,,,建筑
6925,贝多芬钢琴奏鸣曲探索,,柯蒂斯音乐学院,普通（中级）,32 个小时,"热度 1,098",英语,,,艺术
7454,现代世界，第二部分：1910 年后的全球史,,弗吉尼亚大学,简单（初级）,28 个小时,热度 804,"英语, 西班牙语",,,历史
10789,现代世界，第一部分：1760 年到 1910 年的全球史,,弗吉尼亚大学,简单（初级）,23 周,"热度 1,002","英语, 西班牙语",,,历史
11042,古希腊,,卫斯连大学,简单（初级）,23 个小时,热度 886,"英语, 西班牙语",,,历史
18119,杏林探宝——认知中药,,上海交通大学 上海中医药大学,简单（初级）,25 个小时,"热度 1,528","中文, 英语",,,医学健康
749,人类太空飞行简史,,休斯敦大学系统,简单（初级）,10 个小时,热度 711,英语,,,历史
2418,新任管理者,,中欧商业在线,简单（初级）,4 个月,"热度 2,449",中文,,微专业,商业管理
13938,国家预算管理,,中南财经政法大学,普通（中级）,20 周,"热度 1,716",中文,,国家精品,金融
18755,现代工程制图（上）,,大连理工大学,简单（初级）,22 周,"热度 2,255",中文,,,工程
17474,中国诗歌艺术,,四川大学,简单（初级）,17 周,"热度 2,532",中文,,国家精品,文学
16906,科举与唐诗,,郑州大学,简单（初级）,15 周,"热度 1,460",中文,,,文学
11957,普通昆虫学（一）,,华中农业大学,简单（初级）,12 周,"热度 1,240",中文,,,生物
4187,航空燃气涡轮发动机结构设计,,北京航空航天大学,难（高级）,14 周,"热度 1,646",中文,,国家精品,工程
17824,理论力学,,哈尔滨工业大学,普通（中级）,20 周,"热度 2,654",中文,,国家精品,物理
1718,概率论与数理统计–习题与案例分析,,浙江大学,普通（中级）,16 周,"热度 2,646",中文,,,数学与统计
14795,物理与艺术,,南京航空航天大学,简单（初级）,12 周,"热度 1,139",中文,,国家精品,物理
15381,医学伦理学,,四川大学,简单（初级）,12 周,热度 977,中文,,,医学健康
17008,风景园林景观设计原理,,同济大学,普通（中级）,17 周,"热度 1,469",中文,,,环境与地球
12068,细胞生物学,,厦门大学,普通（中级）,16 周,"热度 1,005","中文, 英语",,国家精品,生物
4822,国际结算操作,,浙江金融职业学院,简单（初级）,18 周,"热度 1,507",中文,,,金融
5337,新科学家英语：演讲与写作,,哈尔滨工业大学,普通（中级）,15 周,"热度 1,835",中文,,国家精品,语言
18676,世界华文文学经典欣赏,,武汉大学,简单（初级）,11 周,"热度 1,469",中文,,国家精品,文学
18977,单片机原理及应用,,哈尔滨工业大学,普通（中级）,3 周,"热度 3,204",中文,,国家精品,计算机
18241,数字电子技术基础,,哈尔滨工业大学,普通（中级）,19 周,"热度 1,930",中文,,,电子
1894,数字集成电路与系统设计（ASIC设计）,,电子科技大学,难（高级）,15 周,"热度 1,861",英语,,,电子
14897,中国书法,,高等教育出版社,简单（初级）,16 周,"热度 1,925",中文,,,艺术
13557,工程信号与系统,,西安电子科技大学,普通（中级）,13 周,"热度 1,180",中文,,国家精品,电子
15635,VisualBasic.NET程序设计进阶,,同济大学,普通（中级）,10 周,热度 606,中文,,国家精品,计算机
12327,医用计算机基础,,第四军医大学,简单（初级）,21 周,热度 745,中文,,,医学健康
1178,云计算,,伊利诺伊大学香槟分校,普通（中级）,6 个月,"热度 4,467","英语, 韩语",,专项课程,计算机
2573,中国饮食文化,,华中农业大学,简单（初级）,17 周,"热度 3,340",中文,,国家精品,社会
14646,太极拳文化与功法习练,,武汉理工大学,简单（初级）,18 周,"热度 2,820",中文,,国家精品,医学健康
7933,动物生理学,,华中农业大学,简单（初级）,15 周,"热度 1,754",中文,,,生物
19607,数字逻辑设计及应用,,电子科技大学,难（高级）,24 周,"热度 2,841",中文,,国家精品,电子
19688,电影鉴赏,,中国海洋大学,简单（初级）,10 周,"热度 4,158",中文,,,艺术
1241,人人爱设计（下）,,山东大学,简单（初级）,14 周,"热度 3,056",中文,,国家精品,艺术
18341,数据库系统概论（高级篇）,,中国人民大学,难（高级）,15 周,"热度 2,412",中文,,国家精品,计算机
16094,转型经济学和新兴市场,,俄罗斯高等经济学院,简单（初级）,13 个小时,"热度 2,700",英语,,,经济
13271,磁性材料及硬件,,麻省理工学院,难（高级）,4 周,"热度 2,835",英语,,,电子
416,计算机程序设计（C++）,,西安交通大学,简单（初级）,20 周,"热度 9,381",中文,,国家精品,计算机
18887,自我塑造：成功五要素,,哈尔滨工业大学,简单（初级）,14 周,"热度 3,537",中文,,国家精品,其他
10859,微机原理与接口技术,,西安交通大学,普通（中级）,16 周,"热度 4,814",中文,,,计算机
6320,通信原理,,电子科技大学,难（高级）,22 周,"热度 3,650",中文,,,电子
2414,中医诊断学（上）,,北京中医药大学,普通（中级）,18 周,"热度 3,562",中文,,国家精品,医学健康
2121,中医与诊断—学做自己的医生,,暨南大学,简单（初级）,18 周,"热度 3,334",中文,,国家精品,医学健康
17339,药物分析,,中国药科大学,普通（中级）,19 周,"热度 2,032",中文,,国家精品,化学
9170,《道德经》的智慧启示,,中国海洋大学,简单（初级）,17 周,"热度 3,800",中文,,国家精品,哲学
15291,《世说新语》的国学密码解析,,中国海洋大学,简单（初级）,17 周,"热度 1,665",中文,,,历史
16538,认识星空,,华中农业大学,简单（初级）,13 周,"热度 1,589",中文,,,环境与地球
16935,信息检索,,武汉大学,简单（初级）,16 周,"热度 2,286",中文,,国家精品,社会
1346,信息管理学基础,,武汉大学,简单（初级）,12 周,热度 906,中文,,,社会
10902,现场生命急救知识与技能,,南昌大学,简单（初级）,13 周,"热度 1,311",中文,,国家精品,医学健康
5743,公司金融学,,西南财经大学,简单（初级）,16 周,"热度 3,127",中文,,国家精品,金融
18473,行为金融学,,杜克大学,简单（初级）,9 个小时,"热度 2,140","英语, 葡萄牙语",,,金融
10692,实用机器学习,,微软,难（高级）,6 周,"热度 1,665",英语,,,计算机
11173,哲学导论：上帝，知识和意识,,麻省理工学院,简单（初级）,12 周,"热度 1,616",英语,3月3日,,哲学
1108,物流与供应链管理概论,,清华大学,简单（初级）,6 周,"热度 2,016",中文,,,商业管理
15410,交通规划理论,,清华大学,简单（初级）,6 周,热度 975,中文,,,工程
10688,IC设计与方法,,清华大学,普通（中级）,12 周,"热度 1,336",中文,,,电子
10445,现代教育技术,,陕西师范大学,普通（中级）,16 周,"热度 1,563",中文,,国家精品,教育
9823,自动化专业概论,,华北电力大学,难（高级）,16 周,"热度 1,771",中文,,,工程
4640,物理与人类生活,,吉林大学,简单（初级）,10 周,热度 974,中文,3月4日,,物理
16734,组织行为学,,中南财经政法大学,简单（初级）,13 周,"热度 2,381",中文,,国家精品,商业管理
7935,医学生理学,,山东大学,难（高级）,19 周,"热度 1,647",中文,,国家精品,医学健康
13833,力学(下),,吉林大学,普通（中级）,11 周,热度 606,中文,,国家精品,物理
830,力学(上),,吉林大学,普通（中级）,10 周,热度 879,中文,,国家精品,物理
14683,地理信息系统概论,,中山大学,简单（初级）,20 周,"热度 1,798",中文,,国家精品,环境与地球
17058,工科数学分析（一）,,北京航空航天大学,简单（初级）,22 周,"热度 2,200",中文,,,数学与统计
9180,3D打印革命,,伊利诺伊大学香槟分校,简单（初级）,12 个小时,"热度 1,561","中文, 英语",,,计算机
11320,电影制片：电影拍摄的幕后,,Creative Skillset,简单（初级）,3 周,"热度 1,846",英语,,,艺术
18842,药物化学,,中国药科大学,难（高级）,19 周,"热度 1,452",中文,,国家精品,化学
16987,机械原理,,北京理工大学,难（高级）,18 周,"热度 2,286",中文,,国家精品,工程
19414,系统解剖学,,山东大学,简单（初级）,15 周,"热度 2,306",中文,,国家精品,医学健康
5132,营养与健康,,南京大学,简单（初级）,11 周,"热度 1,806",中文,,,医学健康
6977,VR游戏设计师,,GA游戏教育,普通（中级）,6 个月,"热度 3,620",中文,,微专业,计算机
10137,亚洲本土建筑： 传统，现代与文化的可持续发展,,香港大学,简单（初级）,5 周,"热度 1,549","中文, 英语",3月3日,,建筑
19805,创建关系型数据库,,微软,普通（中级）,6 周,"热度 1,221",英语,,,计算机
16496,音乐技术基础,,澳大利亚阿德莱德大学,简单（初级）,6 周,"热度 1,720",英语,,,艺术
10021,内部控制与风险管理,,中南财经政法大学,普通（中级）,17 周,"热度 2,125",中文,,国家精品,商业管理
14338,天文探秘,,南京大学,简单（初级）,20 周,"热度 1,119",中文,,国家精品,物理
1618,中国茶道,,湖南农业大学,简单（初级）,10 周,"热度 2,765",中文,,国家精品,历史
2657,自我实现,,中国科学技术大学,简单（初级）,5 个月,"热度 2,077",中文,3月3日,,其他
11908,面向数据科学的 Python 编程,,微软,普通（中级）,6 周,"热度 4,538",英语,3月3日,,计算机
13827,面向数据科学的 R 语言编程,,微软,普通（中级）,6 周,"热度 1,913",英语,3月3日,,计算机
5863,创意与创业,,伯克利音乐学院,简单（初级）,4 周,"热度 1,474",英语,1月28日,,商业管理
2178,整合和分析复杂数据,,马里兰大学帕克分校,简单（初级）,8 个小时,热度 983,英语,,,计算机
12043,通过经文了解犹太教,,哈佛大学,简单（初级）,4 周,"热度 1,548",英语,,,宗教
6177,新闻英语,,宾夕法尼亚大学,普通（中级）,26 个小时,"热度 3,462",英语,,,语言
7220,水文气候概论,,荷兰代尔夫特理工大学,普通（中级）,10 周,热度 994,英语,1月1日,,环境与地球
17791,成为企业家,,麻省理工学院,简单（初级）,6 周,"热度 1,293",英语,,,商业管理
3332,金融会计,,ACCA 特许公认会计师公会,普通（中级）,10 周,"热度 2,362",英语,1月7日,,金融
7166,管理会计,,ACCA 特许公认会计师公会,普通（中级）,10 周,"热度 2,148",英语,1月7日,,金融
14892,商务会计,,ACCA 特许公认会计师公会,普通（中级）,10 周,"热度 1,101",英语,1月7日,,金融
18324,光电材料与器件,,麻省理工学院,难（高级）,6 周,"热度 1,196",英语,3月3日,,物理
13678,足球：不仅仅是一场比赛,,爱丁堡大学,简单（初级）,6 周,热度 764,英语,1月14日,,其他
16229,网络科学：网络如何改变世界,,英国南安普顿大学,简单（初级）,2 周,热度 841,英语,,,互联网
5057,社交媒体分析：用数据来理解公众对话,,昆士兰科技大学,简单（初级）,3 周,"热度 1,338",英语,,,社会
9058,面向Web开发者的3D图形应用,,西班牙庞培法布拉大学,普通（中级）,5 周,"热度 1,237",英语,,,计算机
17616,智慧城市,,英国开放大学,简单（初级）,6 周,"热度 1,419",英语,3月4日,,建筑
14018,大数据：数据可视化,,昆士兰科技大学,简单（初级）,3 周,"热度 2,192",英语,,,计算机
16566,探索动画,,英国国家电影电视学院,简单（初级）,4 周,"热度 1,068",英语,3月3日,,艺术
6219,大学英语过程写作,,吉林大学,简单（初级）,16 周,"热度 2,617","中文, 英语",1月1日,,语言
10778,线性代数与空间解析几何,,电子科技大学,简单（初级）,9 周,"热度 2,583",中文,,国家精品,数学与统计
1882,抗菌药与超级细菌——天使与魔鬼的博弈,,复旦大学,简单（初级）,17 个小时,热度 954,中文,,,医学健康
6217,社会学概论,,西安交通大学,简单（初级）,11 周,"热度 1,729",中文,,国家精品,社会
12605,创办企业1：愿景与机遇,,英国利兹大学,简单（初级）,2 周,"热度 1,277",英语,1月7日,,商业管理
1489,世界上最伟大的创新,,英国利兹大学,简单（初级）,2 周,"热度 1,119",英语,1月7日,,其他
18281,数学生物统计学入门 1,,约翰霍普金斯大学,简单（初级）,19 个小时,"热度 1,570",英语,,,数学与统计
13842,英国普通法：结构和原理,,伦敦大学,简单（初级）,9 个小时,"热度 1,200",英语,,,法律
6886,走向伟大：私人企业的理性成长，第一部分,,弗吉尼亚大学,简单（初级）,12 个小时,热度 777,"英语, 西班牙语, 俄语",,,商业管理
1901,高级搜索引擎优化策略,,加州大学戴维斯分校,普通（中级）,14 个小时,"热度 4,051",英语,,,计算机
12650,Windows可视化程序设计,,西安交通大学,简单（初级）,14 个小时,"热度 1,908",中文,,,计算机
4743,学习的领导者,,哈佛大学,简单（初级）,6 周,"热度 2,153",英语,3月3日,,商业管理
7705,犯罪，司法与社会,,英国谢菲尔德大学,简单（初级）,8 周,"热度 1,319",英语,,,社会
172,创业4：融资和盈利能力,,宾夕法尼亚大学,简单（初级）,8 个小时,"热度 1,330",英语,,,商业管理
5854,利用Excel做数据的分析与可视化,,微软,普通（中级）,6 周,"热度 3,895",英语,1月1日,,计算机
1283,工作英语：求职面试,,香港理工大学,简单（初级）,4 周,"热度 2,859",英语,,,语言
14697,数字多媒体的版权,,杜克大学,简单（初级）,10 个小时,"热度 1,305",英语,,,法律
12231,估值原则：风险和收益,,密歇根大学,普通（中级）,23 个小时,"热度 1,667",英语,,,金融
4151,Web应用程序开发：基本概念,,新墨西哥大学,简单（初级）,23 个小时,"热度 1,275",英语,,,计算机
6748,数据分析：建立自己的商业 Dashboard,,荷兰代尔夫特理工大学,普通（中级）,6 周,"热度 1,560",英语,,,商业管理
15545,SQL Server数据库技术,,西安交通大学,简单（初级）,16 个小时,"热度 3,246",中文,,,计算机
6388,拍摄：像剪辑师一样拍摄,,复旦大学,简单（初级）,13 个小时,"热度 3,038",中文,,,艺术
14506,音乐合奏排练基础,,北卡罗莱纳大学教堂山分校,简单（初级）,21 个小时,热度 780,英语,,,艺术
9098,音频和音乐工程基础：第1部分 音乐声音和电子学,,罗彻斯特大学,普通（中级）,27 个小时,热度 936,英语,,,艺术
3836,供应链技术与系统,,麻省理工学院,难（高级）,13 周,"热度 1,027",英语,,,商业管理
17513,云基础构架技术入门,,Linux 基金会,简单（初级）,14 周,热度 888,英语,,,计算机
13986,新闻英语 1,,加州大学伯克利分校,普通（中级）,5 周,"热度 1,270",英语,3月3日,,语言
11002,太阳能,,荷兰代尔夫特理工大学,简单（初级）,8 周,热度 753,英语,,,电子
12382,经济伦理学原理,,对外经济贸易大学,简单（初级）,8 周,"热度 1,564","中文, 英语",,,经济
14729,如何撰写商业计划书,,对外经济贸易大学,简单（初级）,8 周,"热度 2,045","中文, 英语",,,商业管理
10243,电影的商业,,英国开放大学,普通（中级）,6 周,热度 818,英语,6月3日,,商业管理
1624,商务创业英语,,宾夕法尼亚大学,简单（初级）,24 个小时,"热度 1,690",英语,,,语言
8074,金融工程与风险管理，第 2 部分,,哥伦比亚大学,难（高级）,25 个小时,"热度 1,313",英语,,,金融
13769,大数据：数学建模,,昆士兰科技大学,简单（初级）,3 周,"热度 2,474",英语,3月3日,,计算机
6260,透过摄影看世界,,现代艺术博物馆,简单（初级）,14 个小时,"热度 2,575","中文, 英语, 法语, 西班牙语, 意大利语, 俄语",,,艺术
4769,音乐生物学：我们喜欢听什么和为什么,,杜克大学,简单（初级）,14 个小时,"热度 1,148","英语, 西班牙语",,,生物
9857,弦乐四重奏的世界,,柯蒂斯音乐学院,普通（中级）,19 个小时,热度 788,"英语, 法语",,,艺术
15335,现代艺术与创意,,现代艺术博物馆,简单（初级）,11 个小时,"热度 1,367","英语, 意大利语, 德语, 俄语",,,艺术
17882,品读道家智慧,,西安交通大学,普通（中级）,14 周,"热度 2,088",中文,,国家精品,哲学
9130,汽车行走的艺术,,吉林大学,简单（初级）,14 周,"热度 1,622",中文,,国家精品,工程
17537,电路分析基础,,电子科技大学,普通（中级）,12 周,"热度 2,752",中文,,国家精品,电子
16701,理论力学,,西南交通大学,普通（中级）,18 周,"热度 1,889",中文,,国家精品,物理
8899,浅论电子学,,台湾交通大学,简单（初级）,13 周,"热度 1,050",中文,,,电子
13159,计算机操作系统（中国大学MOOC版）,,南京大学,普通（中级）,17 周,"热度 3,875",中文,,国家精品,计算机
3021,数据库系统概论（基础篇）,,中国人民大学,普通（中级）,17 周,"热度 2,161",中文,,,计算机
10729,数据库系统（下）：管理与技术,,哈尔滨工业大学,普通（中级）,22 周,热度 671,中文,,,计算机
15781,数据库系统（中）：建模与设计,,哈尔滨工业大学,普通（中级）,22 周,热度 801,中文,,,计算机
1280,数据库系统（上）：模型与语言,,哈尔滨工业大学,普通（中级）,22 周,"热度 1,713",中文,,,计算机
345,面向对象程序设计 — Java语言,,浙江大学,普通（中级）,10 周,"热度 5,264",中文,,,计算机
18098,零基础学Java语言,,浙江大学,简单（初级）,16 周,"热度 6,490",中文,,,计算机
5357,《说文解字》与上古社会,,武汉大学,普通（中级）,17 周,"热度 1,964",中文,,国家精品,历史
3148,国际软件开发,,微软,普通（中级）,12 周,热度 342,英语,1月1日,,计算机
7925,好莱坞：历史，工业，艺术,,宾夕法尼亚大学,简单（初级）,4 周,热度 900,英语,,,艺术
13905,利用电影教识字,,英国电影协会,简单（初级）,4 周,热度 841,英语,,,教育
15737,数学难题：密码，符号和暗号,,以色列魏茨曼科技学院,简单（初级）,3 周,热度 820,英语,,,数学与统计
3801,Java编程：构建推荐引擎,,杜克大学,普通（中级）,8 个小时,"热度 1,425",英语,,,计算机
1290,创新思维,,复旦大学,简单（初级）,10 个小时,热度 967,中文,,,其他
4236,企业家：打造创新型企业,,马里兰大学帕克分校,简单（初级）,3 个月,"热度 1,369","中文, 英语, 西班牙语, 葡萄牙语",,专项课程,商业管理
