编号,标题,,机构,难度,学时,热度,语言,开课日期,副标题,学科
1792,唐诗新思路,,国立台湾大学,简单（初级）,23 个小时,热度 119,中文,1月7日,,文学
12754,现代文学导读：诗、散文、小说,,国立台湾大学,简单（初级）,24 个小时,热度 106,中文,,,文学
5395,东亚儒学：孟子二,,国立台湾大学,简单（初级）,19 个小时,热度 256,中文,1月7日,经典课程,哲学
16640,东亚儒学：孟子一,,国立台湾大学,简单（初级）,19 个小时,热度 231,中文,1月7日,经典课程,哲学
8145,庄子 – 人情,,国立台湾大学,简单（初级）,22 个小时,热度 262,中文,1月7日,经典课程,哲学
19033,庄子 – 姿势、意识与感情,,国立台湾大学,简单（初级）,28 个小时,热度 195,中文,1月7日,经典课程,哲学
17570,东亚儒家：人文精神二,,国立台湾大学,普通（中级）,24 个小时,热度 111,中文,1月7日,经典课程,哲学
13325,东亚儒家：人文精神一,,国立台湾大学,简单（初级）,22 个小时,热度 147,中文,1月7日,经典课程,哲学
514,心理学概论,,耶鲁大学,简单（初级）,15 个小时,热度 207,英语,1月7日,,心理
7546,Thomas Berry的世界观：地球社区的繁荣,,耶鲁大学,简单（初级）,14 个小时,热度 93,"中文, 英语",1月7日,,环境与地球
2296,宇宙之旅：对话,,耶鲁大学,简单（初级）,26 个小时,热度 90,"中文, 英语",1月7日,,环境与地球
15523,宇宙之旅：展现生命,,耶鲁大学,简单（初级）,19 个小时,热度 105,"中文, 英语",1月7日,,环境与地球
14420,美国的成文宪法,,耶鲁大学,简单（初级）,21 个小时,热度 119,英语,1月7日,,法律
13400,美国的不成文宪法,,耶鲁大学,简单（初级）,20 个小时,热度 99,"中文, 英语",1月7日,,法律
12695,成为伟大的歌手：声乐完整训练,,Robert Lunte,简单（初级）,22 个小时,热度 361,英语,,,艺术
490,游戏音乐创作：从零开始制作游戏音乐,,Karleen Heong,简单（初级）,20 个小时,热度 289,"英语, 西班牙语, 葡萄牙语",,,艺术
9681,"音乐综合理论：4,5,6级",,Jason Allen,普通（中级）,10 个小时,热度 182,英语,,,艺术
19298,成为一名天生的歌手 – 第 II 阶段,,Eric Arceneaux,普通（中级）,2 个小时,热度 188,"英语, 西班牙语",,,艺术
12425,专业歌唱技巧 – 第 I 阶段,,Eric Arceneaux,普通（中级）,3 个小时,热度 247,"英语, 西班牙语",,,艺术
3583,电子音乐理论全集 （1、2、3级）,,Jason Allen,简单（初级）,13 个小时,热度 193,英语,,,艺术
7690,"音乐综合理论：1,2,3级",,Jason Allen,简单（初级）,12 个小时,热度 177,英语,,,艺术
5401,吉他完全攻略 – 初级到高级,,Erich Andreas,简单（初级）,34 个小时,热度 274,"英语, 西班牙语, 葡萄牙语, 其他",,,艺术
3891,人人钢琴课 – 神奇的钢琴、琴键学习技巧,,Robin Hall,简单（初级）,10 个小时,热度 241,"英语, 日语, 西班牙语, 意大利语, 葡萄牙语",,,艺术
7931,Microsoft Excel – 数据可视化，Excel图表和图形,,Chris Dutton,普通（中级）,4 个小时,热度 260,英语,,,计算机
18721,Microsoft Excel – 使用Excel数据透视表进行数据分析,,Chris Dutton,普通（中级）,6 个小时,热度 188,英语,,,计算机
1883,Microsoft Excel – 高级Excel公式和函数,,Chris Dutton,普通（中级）,6 个小时,热度 215,英语,,,计算机
1551,零基础学习Excel VBA 自动化采集网页数据,,Raymond Chien,简单（初级）,10 个小时,热度 261,中文,,,计算机
11936,PPT 快制力- 设计小白也能快速做出高颜质PPT,,liqun Xiao,简单（初级）,4 个小时,热度 247,中文,,,艺术
2205,全面掌握加密币，做财富的创造者,,B21 Block,简单（初级）,3 个小时,热度 295,中文,,,金融
10036,区块链入门与投资,,Jason Life,简单（初级）,2 个小时,热度 310,中文,,,金融
14525,以太坊和Solidity：完全开发指南,,Stephen Grider,简单（初级）,24 个小时,热度 188,"英语, 日语, 西班牙语, 葡萄牙语",,,计算机
17472,给初学者的Python基础入门课程,,Paul Chao,简单（初级）,4 个小时,"热度 1,003",中文,,,计算机
14050,以太坊区块链开发者：构建区块链应用程序,,B21 Block,简单（初级）,7 个小时,热度 146,英语,,,计算机
11967,从零开始学习区块链与比特币,,Howard Peng,简单（初级）,2 个小时,热度 220,中文,,,商业管理
13580,以太坊游戏开发：写一款能跑在区块链上的游戏,,B21 Block,简单（初级）,5 个小时,热度 190,中文,,,计算机
3939,零基础视频拍摄完全教程,,Video School Online Inc,简单（初级）,4 个小时,热度 363,中文,,,艺术
19012,摄影后期处理全面提高篇,,lin feng lou,简单（初级）,10 个小时,热度 247,中文,,,艺术
18429,Final Cut Pro X 10.4 基础学习  第一部分,,Chao Min Su,简单（初级）,7 个小时,热度 149,中文,,,艺术
13245,数码暗房超简单（基础篇）,,瘾科技,简单（初级）,2 个小时,热度 125,中文,,,艺术
8468,摄影大师课：最佳在线专业摄影课,,Video School Online Inc,简单（初级）,21 个小时,热度 264,中文,,,艺术
5328,GMAT考生必看 GMAT Math 大解析- 第一系列:Arithmetic,,CY Yang,简单（初级）,2 个小时,热度 276,中文,,,语言
3280,在线日本语JLPT N4课程（全15课）,,Attain Corp,简单（初级）,14 个小时,热度 262,中文,,,语言
7709,在线日本语JLPT N1课程（全10课）,,Attain Corp,简单（初级）,11 个小时,热度 263,中文,,,语言
2118,在线日本语JLPT N2课程（全10 课）,,Attain Corp,简单（初级）,11 个小时,热度 155,中文,,,语言
13405,在线日本语JLPT N3课程（全10 课）,,Attain Corp,简单（初级）,10 个小时,热度 154,中文,,,语言
2673,商务日语之路 初级篇 下卷,,Attain Corp,简单（初级）,2 个小时,热度 113,中文,,,语言
2449,商务日语之路 初级篇 上卷,,Attain Corp,简单（初级）,2 个小时,热度 154,中文,,,语言
16321,我的韩语教室-零基础速学发音,,华冈数位,简单（初级）,2 个小时,热度 143,中文,,,语言
6916,核心韩语1：通过实践打好韩语基础,,Daniel Lin,简单（初级）,11 个小时,热度 138,英语,,,语言
9042,基础英文第六课,,Teresa Hung,普通（中级）,3 个小时,热度 369,中文,,,语言
9275,基础英文第五课,,Teresa Hung,普通（中级）,5 个小时,热度 184,中文,,,语言
10966,基础英文第四课,,Teresa Hung,简单（初级）,2 个小时,热度 188,中文,,,语言
3726,基础英文第三课,,Teresa Hung,简单（初级）,3 个小时,热度 167,中文,,,语言
10296,基础英文第二课,,Teresa Hung,简单（初级）,2 个小时,热度 173,中文,,,语言
3698,基础英文第一课,,Teresa Hung,简单（初级）,2 个小时,热度 781,中文,,,语言
19693,"建网进阶篇-制作您自己的WordPress主题使用HTML,CSS,php,mySQL,Bootstrap",,Ken Cen,简单（初级）,14 个小时,热度 131,中文,,,计算机
7101,DSP芯片概论,,蔡政宏,简单（初级）,23 个小时,热度 152,中文,,,电子
14816,Linux概论─以CentOS 7为例,,Bill Hsu,简单（初级）,2 个小时,热度 157,中文,,,计算机
9670,零基础七天入门Linux,,Peng Xiao,简单（初级）,5 个小时,热度 199,中文,,,计算机
17086,Web网站安全测试（渗透测试）- 从初学到精通,,Yan Gao,简单（初级）,10 个小时,热度 189,中文,,,计算机
166,项目管理证书 | 项目管理课程,,Mauricio Rubio,简单（初级）,2 个小时,热度 184,"中文, 英语",,,商业管理
848,盖伊‧川崎的创业教练课 (简体中文),,慕课台湾,简单（初级）,4 个小时,热度 126,中文,,,商业管理
14571,赛斯高汀：给自由工作者的一课 (简体中文),,瘾科技,简单（初级）,3 个小时,热度 113,中文,,,商业管理
14989,Amazon亚马逊运营实操和数据分析,,经纬互联电商学院,简单（初级）,8 个小时,热度 145,中文,,,商业管理
15023,数据分析技能速成 Microsoft SQL,,Chongran Hao,简单（初级）,4 个小时,热度 197,中文,,,计算机
13994,盖伊‧川崎的创业教练课 (繁体中文),,慕课台湾,简单（初级）,4 个小时,热度 112,中文,,,商业管理
3788,赛斯高汀：给自由工作者的一课 (繁体中文),,瘾科技,简单（初级）,3 个小时,热度 121,中文,,,商业管理
8073,机器学习 A-Z,,士豪邱,简单（初级）,32 个小时,热度 162,"中文, 英语",,,计算机
14853,综合MBA课程：由商学院屡获殊荣的教授授课,,Chris Haroun,简单（初级）,7 个小时,热度 178,中文,,,商业管理
